Judul ,Tahun,Nama Penulis ,Abstrak,Keywords
"ASIMETRI HARGA BERAS DAN DAGING SAPI
DI INDONESIA",2019,MULIA ARY MASHITOH,"This study analyzes the movement and asymmetry of rice and beef prices at
the producer and consumer level between regions in Indonesia. The data used in
this study is data on rice and beef prices at the producer and consumer level from
2010 to 2017. The method used in the analysis is the Error Correction Model
(ECM). The movement of rice and beef prices between regions in Indonesia
fluctuated throughout the period 2010-2017. The price of rice at the producer level
is more volatile than the price of rice at the consumer level. While the price of
beef at the consumer level is more volatile than the price of beef at the producer
level. Transmission of rice prices at the consumer level to prices at the producer
level occurs asymmetrically, both in the short term and in the long run. In
producer-consumer relations, the transmission of rice prices at the producer level
to prices at the consumer level occurs asymmetrically in the short term, but
symmetrically in the long run. While the transmission of beef prices at the
consumer level to prices at the producer level is symmetrical in both the short and
long term.","Price Asymmetry, Rice, Beef, ECM"
"ANALISIS PERGERAKAN DAN RISIKO HARGA CABAI
MERAH BESAR DAN BAWANG MERAH DI PASAR INDUK
KRAMAT JATI",2019,MUHAMAD MUHSONEF,"Red chili and shallot are important commodities within the Indonesian
economy. The price conditions of red chili and shallot in Kramat Jati Central Market
fluctuated. The price fluctuation of red chili and shallot indicate a price risk. The
purpose of this study was to analyze the movements and risks of the prices of red
chili and shallot in the Kramat Jati Central Market. The study used secondary data
on prices of red chili and shallot for the period of January 2014 to December 2016.
This study used descriptive analysis, a coefficient of variation and variance using
the ARCH-GARCH model. The results showed that the prices of red chili and
shallot fluctuated. The factors that influence the price of red chili at the current time
period were the supply of red chili during the current period and the price of chili
in the previous period. While the risk of red chili prices for the current period was
influenced by the volatility of the price of red chili one day before and the price
variance of one and two days before. The factors that influence the price of shallot
for the current period was the prices of shallot in the previous period. While the risk
of shallot prices for the current period was affected by the volatility of shallot prices
and the variance of shallot prices in one day before.","ARCH-GARCH, price risk, red chili, shallot"
"ASIMETRIS HARGA SKIM MILK POWDER DI PASAR
INDONESIA DAN INTERNASIONAL",2019,BILFAN NUR AULIA R.,"This study aims to analyze the real-price skim milk powder (SMP)
transmission in the Indonesian and international markets. The data used in this study
is a SMP price (HS 040210) starting from January 2010 to January 2019. The
method used in this study is the Error Correction Model (ECM) method. The results
of the study show that overall, there is a mutually integrated relationship between
SMP prices in the Indonesian and international markets. The results show that short-
term price transmission in the Indonesian market and international markets (the
United States of Australia, Belgium, and New Zealand) occurs asymmetrically in
the short due to adjustment costs. Meanwhile, there is no asymmetric price
transmission in the long run. This shows that there is no market power by the
Indonesian exporting country.","Asymmetrical prices, ECM method, Skim Milk Powder’s Price"
"PENGARUH BEA KELUAR TERHADAP HARGA TANDAN
BUAH SEGAR (TBS) DI INDONESIA",2019,ATIKA FAIZI CRAFTY,"The decline in Crude Palm Oil (CPO) price in couple years has a direct
impact on Indonesian palm oil market and farmers. In response to this
phenomenon the government remove the export tax of CPO to increase fresh fruit
bunches price in Indonesia. This study aims to determine the effect of export tax
of CPO on fresh fruit bunches price and analyzing the factors that influence it.
The analysis Error Correction Model was used to identify the variables that
significantly affect fresh fruit bunches price in Indonesia. The data used in this
study were monthly data from January 2010 to December 2017. Results showed
in the long run the fresh fruit bunches price is influenced by the export tax,
Indonesia crude palm oil (CPO) price, world price, export in Indonesia, and
exchange rates rupiah to US dollar. While in the short term fresh fruit bunches
price is influenced only by the world crude palm oil price.","Export Tax, Fresh Fruit Bunches Price, CPO, Error Correction Model"
"ANALISIS PENGARUH TINGKAT KONSUMSI KARET ALAM
DALAM NEGERI TERHADAP HARGA KARET ALAM
INDONESIA",2019,PENGGAWA PIETRA PRAMANANDA,"The decline in natural rubber prices in recent years has a direct impact on
Indonesia natural rubber market. In response to this phenomenon the government
plans to increase natural rubber domestic consumption to increase Indonesia rubber
prices. This study aims to determine the effect of increasing natural rubber domestic
consumption on natural rubber prices and the factors those influence it. The method
Error Correction Model was used to identify the variables that significantly affect
Indonesia natural rubber prices. The data used in this study are monthly data from
January 2012 to December 2017. Results showed in the long run the Indonesia
natural rubber price is influenced by the previous period of Indonesia natural rubber
prices, world natural rubber prices, world crude oil prices, and exchange rates
rupiah to US dollar. While in the short term, Indonesia natural rubber prices is
influenced by the previous period of Indonesia natural rubber prices, world natural
rubber prices, and exchange rates rupiah to US dollar. Natural rubber domestic
consumption is not significantly affect Indonesia natural rubber prices.","Error correction model, domestic consumption, natural rubber prices"
"VOLATILITAS HARGA SUSU SEGAR DI TIGA PROVINSI
PRODUSEN SUSU INDONESIA",2019,DIANI ALIYA SOFIA,"This study aims to analyze the volatility of fresh milk prices in three milk
producer provinces in Indonesia. This study uses secondary data from three
provinces in Indonesia during the period of June 2015 to December 2018. The
method used to analyze the volatility of fresh milk prices using the ARCH-GARCH
method and to analyze the factors that influence it using the VECM method. The
results of this study are volatile fresh milk prices occurring in West Java Province
which is influenced by the volatility of the previous period. Factors affecting the
volatility of prices of fresh milk in West Java occur in the short and long term. The
factors that influence in the long run are climate, world milk prices, and feed prices.","ARCH-GARCH, fresh milk prices, VECM, volatility"
"ANALISIS PENENTUAN HARGA OUTPUT MINIMUM
DI TINGKAT PETANI DALAM UPAYA PEMENUHAN
KEBUTUHAN RUMAHTANGGA PETANI
(Studi Kasus: Usahatani Padi di Desa Ciasmara Kecamatan
Pamijahan Kabupaten Bogor)",2019,DINA PRATIWI,"Rice is an important commodity as a staple food for Indonesian people.
But the number of farmers in Indonesia is decreasing and the welfare of farmers in
Indonesia is still low. Bogor Regency is one of the five regencies in West Java
Province that produces the largest amount of rice. The average price of paddy
grains in Bogor Regency is still below the West Java Province average price. This
price has not been able to create enough income for farmers to meet their
household needs. The purposes of this study are to: (1) Analyze the cost and
income structure of rice farming, (2) Analyze household expenditure of rice
farmers, (3) Analyze minimum output prices at the level of rice farmers in
Ciasmara Village. The method used in this study are the analysis of cost
structures, analysis of income, analysis of household expenditure, and analysis of
output prices. The results showed that the R/C value of the cash costs for planting
seasons I, II, and III were 4.81, 4.40 and 4.15, respectively. Farmer household
expenditure is greater for non-food expenditure than food. The minimum output
price that can meet the basic needs for three person household size is IDR 5 274
per kg of paddy grains and for four person household size is IDR 5 701 per kg of
paddy grains.","household expenditure, income, output price, paddy grains, rice
farming"
"PENGARUH PENDAPATAN DAN HARGA PANGAN
TERHADAP DIVERSIFIKASI KONSUMSI PANGAN POKOK
DI KAWASAN BARAT DAN TIMUR INDONESIA",2019,ADE DWI ARYANI,"Staple food consumption diversification is an effort to diversify food intended
for the people to not depend on one type of staple food commodity. Changes in
income and food prices will determine the ability of real purchasing power of the
people which ultimately affects the diversity of the types of staple food purchased.
This paper analyzes the effect of income and food prices on the staple food
consumption diversification in Western and Eastern Regions of Indonesia during
the period 2013-2017. This study uses the econometrics model in the form of panel
data with Fixed Effect Model (FEM) approach. The results show that income can
increase the staple food consumption diversification in Eastern Regions of
Indonesia, but it can reduce the staple food consumption diversification in Western
Region of Indonesia. This is due to differences in food expenditure in each region.
Food prices affect the staple food consumption diversification in both regions.
Stable and affordable food prices can increase food access so that people are able
to buy food commodities to meet their needs.","FEM, food prices, income, staple food consumption diversification"
"ANALISIS DAMPAK EL NINO TERHADAP HARGA
KOMODITAS POKOK PANGAN, INFLASI DAN
KEMISKINAN DI INDONESIA",2019,BRONSON MARPAUNG,"El Nino is one of the climate phenomena that has a direct impact on
Indonesia in the form of droughts, decreasing rainfall and decreasing agricultural
production. The first objective of this study was to analyze the influence of El
Nino and other variables on inflation and the second objective in this study was to
analyze the impact of El Nino and other variables on poverty. The method used is
the static panel method. this study uses data from 25 provinces in Indonesia.
Monthly data period from 2008-2015.
The dependent variable in this study is inflation and the number of poor
people. while the independent variables are food commodities such as Prices of
chili, Onions, Rice, Soybeans, Corn, El Nino, Inflation and PDRB. El Nino and
the price of food comodities have a positive and significant effect on inflation.
Inflation have a positive and significant effect on the number of poor people,
while PDRB have a negative significantly effect the number of poor people.
Based on this research it can be suggested that the government as a
policy maker in repeating and accommodating the impact of El Nino with policies
on food price supervision. The government strengthens the provision of
supporting facilities and infrastructure for agriculture by means of good irrigation.
The El Nino phenomenon has an impact on changing weather and climate from
changes in rainfall to the rainy season.","El Nino, Food Commodities, Inflation, Panel Data, Poverty"
"DAMPAK PENGEMBANGAN BIOFUELS TERHADAP
TRANSMISI VOLATILITAS HARGA BEBERAPA
KOMODITAS PANGAN DUNIA",2019,FATHIMAH SHOLIHAH,"The increasing global production of biofuels provides a new link between
crude oil and agricultural commodities. US and Indonesia are countries which have
been doing biofuels development. US used corn and Indonesia used palm oil as
feedstock of biofuels. Biofuels development leads increasing biofuels feedstock
demand. Unfortunately, this conditions gave impact on rising biofuels feedstock
prices and others agricultural commodities prices which has relationship with
biofuels feedstock, for instance meat chicken, rice, wheat and soybean.
The aims of this research are to analyze relationship between crude oil prices
and agricultural commodities prices through volatility pattern descriptions and
cointegration analysis, to analyze the impact of biofuels development which used
corn and palm oil on food prices through price transmission and price volatility
transmission; furthermore this research will compare the effect between corn and
palm oil to food prices. This paper will examine two types of transmission ; cross
commodity and spasial transmission. Using monthly data from 1960 to 2008, we
used some model to answer the purpose: ARCH GARCH model and Engle Granger
Cointegration test to examine relationship between crude oil prices and agricultural
commodities prices, VAR model identifies transmission in price while GARCH
BEKK model is used to identify transmission in volatility.
Based on the result, there are a relationship between crude oil and agricultural
prices. The relationship can be seen through similarity volatility pattern and
cointegration between them. Moreover, biofuels development give impact not only
increasing on biofuels feedstock prices but also on food prices. The volatility of
corn price is transmistted to five commodities: own past price, palm oil, rice,
soybean and wheat, but the volatility of palm oil is transmitted just to one
commodity, soybean. The findings of the study indicate that biofuels development
used corn as food commodity is more risk than used palm oil as plantation
commodity, then biofuels development does not give impact on domestic price in
Indonesia.","biofuels, GARCH BEKK, price transmission, price volatility
transmission"
"KELAYAKAN PENGEMBANGAN USAHA BUDIDAYA IKAN
PATIN DI KK FARM KABUPATEN BOGOR",2019,MULIA ARY MASHITOH,"Pangasius farming has good potential to be developed as demand for pangasius
from year to year has been increasing. KK Farm is one of the business that engages
in pangasius farming which is located in Bogor Regency. KK Farm has high level
of demand, in 2018 KK Farm was only able to meet 30 percent of the total demand.
The objectives of this study were to analyze the feasibility of KK Farm development
for pangasius farming non-financially and financially, and to analyze the level of
sensitivity to variations in selling prices and increases in feed prices. The method
used for non-financial aspects analysis was descriptive method, for financial aspect
was investment feasibility criteria, namely NPV, Net B / C, IRR and PP, and for
sensitivity analysis was switching value method. The results of the feasibility
analysis showed that the development of pangasius farming was feasible. The
results of the switching value analysis concluded that the increase in feed costs was
more sensitive than the decrease in selling prices.","business development, feasibility, pangasius, switching value."
"ANALISIS DAYA SAING USAHATANI KRISAN
DI KECAMATAN SUKARESMI KABUPATEN CIANJUR",2019,FAUZAN HANIF,"Chrysanthemum is one of the prospective agriculture comodities in
Sukaresmi District Cianjur Regency. The objective of this study were to analyze
the factors affecting the production of chrysanthemum, to analyze competitiveness
of chrysanthemum, and to analyze effect of external and internal factor on
chrysanthemum competitiveness in Sukaresmi District, Cianjur Regency. The
methods used in this study are production function analysis and Policy Analysis
Matrix (PAM). The result showed that amount of seed and amount of chemical
fertilizer affect the production of chrysanthemum in Sukaresmi District, Cianjur
Regency. The result of competitiveness analysis showed that Sukaresmi District,
Cianjur Regency has competitive and comparative advantages. Lowering the
selling price of chrysanthemums, rising prices of pesticides, and revocation of
phonska fertilizer subsidies simulation result to declining profits and
competitiveness. Meanwhile, the increase in the selling price of chrysanthemums,
the increase in chrysanthemum production, and the depreciation of rupiah against
US dollar could increase profit and competitiveness.","OLS, PAM, policy, production factor."
"ANALISIS KELAYAKAN USAHA BUDIDAYA PERTANIAN
TERINTEGRASI SELADA DAN IKAN PATIN DENGAN
TEKNIK AKUAPONIK DI SURYA TANI FARM, DESA
CITOE, KABUPATEN SUKABUMI",2019,SITI FATIMAH PANGAULA,"The integrated cultivation of lettuce and patin catfish in aquaponics has many
advantages but also has a high risk. This research aims to analyze the financial
and non feasibility financial of integrated cultivation of lettuce and patin catfish
by aquaponics techniques and its sensitivity to changes in production volume and
price fish feed, fish seed price, and labor costs. The research was conducted at
Surya Tani Farm. The method used to analyze non-financial aspects with
descriptive analysis, while for the financial aspects using investment feasibility
criteria, namely NPV, Net B / C, IRR and PP and in the switching value analysis.
The results of the feasibility analysis of non-financial aspects of the business are
declared feasible to run. In the analysis of the financial aspects of scenario I, the aquaculture system cultivates catfish with 15 grams of seed until the fish are
harvested at a size of 150 grams, and scenario II, in the aquaculture system,
cultivates catfish from 150 grams to 850 grams, showing the most feasible effort.
feasible to run is scenario I. The results of the sensitivity analysis concluded that
in scenario I the most sensitive component was a decrease in production volume
whereas in scenario II the most sensitive component was the price component of
feed.","Integrated agriculture, catfish business, lettuce business, aquaponic
aquaculture business, feasibility, investment feasibility criteria, switching value"
"PENGARUH BEA KELUAR TERHADAP HARGA TANDAN
BUAH SEGAR (TBS) DI INDONESIA",2019,ATIKA FAIZI CRAFTY,"The decline in Crude Palm Oil (CPO) price in couple years has a direct
impact on Indonesian palm oil market and farmers. In response to this
phenomenon the government remove the export tax of CPO to increase fresh fruit
bunches price in Indonesia. This study aims to determine the effect of export tax
of CPO on fresh fruit bunches price and analyzing the factors that influence it.
The analysis Error Correction Model was used to identify the variables that
significantly affect fresh fruit bunches price in Indonesia. The data used in this
study were monthly data from January 2010 to December 2017. Results showed
in the long run the fresh fruit bunches price is influenced by the export tax,
Indonesia crude palm oil (CPO) price, world price, export in Indonesia, and
exchange rates rupiah to US dollar. While in the short term fresh fruit bunches
price is influenced only by the world crude palm oil price.","ntegrated agriculture, catfish business, lettuce business, aquaponic
aquaculture business, feasibility, investment feasibility criteria, switching value"
"ANALISIS PENDAPATAN DAN FAKTOR-FAKTOR YANG
MEMENGARUHI KEPUTUSAN PETANI KARET
MENGIKUTI SISTEM TENDER",2019,WINDHA AYU WANDHIRA,"Rubber farming is the main livelihood of the people in Negeri Agung Sub-
District . Fluctuations in the price of rubber which tend to decline and cannot
compensate for the prices of basic commodities will make farmers increasingly
anxious. One of the efforts made to improve rubber prices is a rubber tender
system. The purpose of the Tender is to increase the bargaining position of
farmers, so that the prices formed are higher.Therefore, the purposes of this
research are: (1) To identify the mechanisms and institutionns of the community
rubber tender system in Negeri Agung,Way Kanan, Lampung (2) To analyze the
differences in income between rubber farmers who took part in tenders and those
who did not take part in Negeri Agung,Way Kanan,Lampung (3)To analyzing
factors that influence farmers' decision to join the community rubber tender
system in Negeri Agung,Way Kanan, Lampung Province. This research uses
descriptive analysis method to identify the mechanism and institutionalization of
the tender system, R / C ratio analysis, B/C ratio and t-test to analyze income
efficiency and income differential test, binomial logistic regression analysis for
the purpose of factors that influence the decision of rubber farmers following the
tender system. The results of the study showed that the parties involved in the
tender were the group leaders, rubber companies, and farmers. The value of
tender farmers' income is higher than non-tender farmers. The factors that
influence the decision of rubber farmers to follow the tender system are education,
number of dependents, experience, membership in farmer groups, and cash
income of rubber farming.","R/C ratio analysis, B/C ratio, binomial logistic regression, rubber
tenders, T-test"
