Judul ,Tahun,Nama Penulis ,Abstrak,Keywords
"ANALISIS PENGARUH KARAKTERISTIK FISIK BERAS
TERHADAP HARGA BERAS
(Studi kasus di Bogor)",2018,LAYYINATUL KHOLIQOH,"Quality differences on rice has an influence on price differences of rice.
One of the factors that determines rice quality is its physical characteristics.
Bogor is one region in Indonesia which has a high rainfall, that the water content
of its rice is high and makes the rice’s quality lower. The purpose of this study is
to know the impact of rice physical characteristics on rice prices in Bogor. The
method used in this study is descriptive analysis method and hedonic price
analysis. Results showed that most rice in Bogor is categorized as Premium II
quality, according to its physical characteristics. Based on hedonic price analysis,
all independent variables used has a significant effect on rice prices. However,
only menir grain, broken grain, and ration of length to width variables that has
significant effects on rice prices in Bogor.","rice, hedonic price function, price, physical characteristics, quality"
"TRANSMISI DAN ASIMETRI HARGA BAWANG
MERAH DI INDONESIA",2018,MEI HARDIANTI UTARI,"Shallot is one of the commodities that given special attention of the
government, as an effort to anticipate inflation. In Indonesia, shallot cultivation is
done in a seasonal way, so there is an over supply that causes a decrease in the price
during the harvest season, while the price increases in the famine season. Price
fluctuations in horticultural commodities have more impact to farmer than trader,
they can provide more opportunities for traders to manipulate price information at
the farmer level and cause price asymmetry. The purpose of this study is to analyze
the transmission of shallot price in Indonesia used an Error Correction Models
(ECM) approach. This research used the daily data of shallot price at the producer,
central market, and consumer levels in 2017. The results of this study indicate there
is an asymmetry between producer and central market in the short run.","Asymmetry, ECM, Price Transmission, Shallot."
TRANSMISI DAN ASIMETRI HARGA CABAI DI INDONESIA,2018,MUTHIA RAHMA DEWI,"Chili (Capsicum sp) is one of the strategic horticultural commodities that
play an important role in the Indonesian economy. One of these roles can be seen
from the contribution of chili in the formation of national inflation rate. Prices
fluctuation in the marketing levels of chili will provide an opportunity for market
participants to manipulate prices. This can lead to the transmission of prices in the
marketing chain to be imperfect. Producer does not benefit from price increase at
the consumer level and the consumer does not benefit from the decline price in
producer price. The purposes of this study are to: (1) analyze price movement of
chilies at producer, wholesale market, and retail level in Indonesia, (2) analyze the
price asymmetric of chilies at producer, wholesale market, and retail level in
Indonesia. Secondary time series data daily 2017 which is the price of chilies was
used for the analysis. Source of data obtained from Kementerian Pertanian and
Info Pangan Jakarta. The research using a model Error Corection Model (ECM).
The results show that: (1) the price of chili change is faster at the producer level,
(2) asymmetric price of red chili and small chili occurs at the wholesale market
level. Asymmetric price of curly chili occurs at the producer to retail level.","chili, ECM, price asymmetric, price fluctuation"
"FAKTOR-FAKTOR YANG MEMENGARUHI RISIKO HARGA
BAWANG MERAH DI TINGKAT PETANI
DI KABUPATEN BREBES",2018,FAJRIANSYAH HENDRA PRATAMA,"Brebes Regency, Central Jawa is the greatest onion center in Indonesia. Seasonal
onion production potentially lead price risk in farmers level. Based on the fact
price risk received by the farmers, This research is intend to analyze onion price
movements in farmers level and to analyze the factors which affect onion price
risk in farmers level. Secondary data that used in this research is timeseries data
about price and production of shallots in farmers level years 2010-2017 which is
retrieved from Dinas Petanian Kabupaten Brebes and Dinas Perdagangan
Kabupaten Brebes. The research using standard deviation method for analyzing
the movement of onion price and using ARCH-GARCH method for analyzing the
affecting factors of onion price. The result of this research conclude that onion
price fluctuation in farmers level causing risk to the farmers. Onion price at last
period and onion production in this period are the factors that affecting the onion
price.","farmers, fluctuation, onion, price risk, seasonal"
TRANSMISI DAN ASIMETRI HARGA BERAS DI INDONESIA,2018,MUNA RIZKI HUTAMI,"Rice is one of the food crops commodity and carbohydrate source for
some of Indonesia's population, therefore, rice is used as an indicator of poverty.
The demand for rice is inelastic, hence the fluctuation of rice price becomes the
government's attention. The transmission of rice prices goes asymmetrically, thus
causing a high price disparity among agencies within the rice marketing chain.
This research aims to analyze the movement of rice prices at the level of
producers, wholesalers, and consumers, also analyze the asymmetry of rice prices
in Indonesia. This research uses secondary data as time series data, in the form of
medium and premium rice (1 January-31 December) daily data in 2017 while
employing Error Correction Model (ECM) method. The result of this research
reveals that based on the value of the coefficient variation (CV), producer price is
more fluctuated compared to the market price of the wholeseler and consumer.
Transmission analysis results of medium and premium rice prices indicates in the
long run for both types of rice is asymmetry.","Asymmetry Price, ECM, Rice"
"DAMPAK IMPOR TAPIOKA
TERHADAP HARGA UBI KAYU DI INDONESIA",2018,LURIANA TASLIM,"Indonesia’s tapioca import has increased over the past few years. As the main
component in tapioca production, cassava has a close relationship with tapioca. Cassava
price plays an important role in the lives of cassava farmers and its processing industry,
it also determines the competitiveness of Indonesia’s cassava and tapioca. Therefore,
cassava prices need to be observed. This study aims to analyze the factors that determines
Indonesia’s cassava prices and the impact of tapioca import policy on Indonesia’s cassava
price determination. The method Error Correction Model was used to identify which
variables have significant effects on the determination of Indonesia’s cassava prices.
Monthly time series data from January 2011 until December 2016 was used in this study.
Results showed that in the long-term, previous month’s cassava price, imported tapioca
price, tapioca import value, and exchange rate have significant effects on Indonesia’s
cassava prices. While in the short-term, variables that have significant effects on
Indonesia’s cassava prices are previous month’s cassava price, tapioca import value, and
domestic cassava production. Tapioca import volume does not have significant effects
on Indonesia’s cassava prices. Based on the results of this study, the right policies to be
applied are cassava’s production and productivity enhancement, which can be attained
through extensification and intensification programmes.","Error Correction Model, tapioca import, price determination, cassava"
"PENERAPAN METODE VAR-X UNTUK PEMODELAN DATA
DERET WAKTU DENGAN CALENDAR EFFECTS
(Studi Kasus: Data Harga Broiler dan Karkas di Jawa Barat
Tahun 2015-2018)",2018,ADE GUSALINDA,"One of the commodities that has quite varied price fluctuations is broiler and
carcass chicken. The context of forecasting is quite important considering the
policies that can be taken by the producer and even the strategies that can be taken
by consumers. This study attempts to modeling broiler and carcass prices together
with Vector Autoregressive (VAR) which is one method in time series analysis
that utilizes more than one time series variable. In addition, the effect of calendar
calendar events is also the topic of discussion in this study which is implemented
by the VAR-X method. As a result, the calendar effects variables that affect
broiler and carcass prices are February, the first week of Ramadan and Eid-ul-Fitr.
Furthermore, forecasting with VAR-X produces a pretty good value than VAR
with lower MAPE criteria.","calendar effects, broiler prices, carcass prices, VAR, VAR-X"
"KAITAN PERUBAHAN IKLIM TERHADAP HARGA
PANGAN SERTA HORTIKULTURA DI DAERAH
TERDAMPAK FENOMENA EL NINO DAN LA NINA",2018,HALIMAH CAHYANING FAJRI,"Climate change becomes a global issue because it has a wide impact on a
country’s socio-economic condition. The main factor influencing climate change
in Indonesia is El Nino Southern Oscillation (ENSO) consisting of three phases,
El Nino, Normal and La Nina phases. ENSO plays an important role in climate
variations and intensity of rainfall, so that it can affect the agricultural sector,
especially the food and horticulture crops sub-sector which is very vulnerable to
climate change. This research examines the impact of climate change on food and
horticulture prices such as rice, maize, soybean and red chili using the static panel
method. Cross section data focuses on the 10 most affected provinces of the
ENSO phenomenon, while time series data is used from 2011Q1 until 2016Q4.
The results show that El Nino significantly affects the increase of rice and
soybean price and the decrease of maize price. While La Nina significantly affects
the increase of rice price and the decrease of red chili price. In general, El Nino
has a bigger impact on food prices than La Nina.","el nino, food prices, la nina, data panel, climate change"
"ANALISIS STRATEGI PENETAPAN HARGA PRODUK SUSU
SAPI SEGAR DI CV SRIAGUNG JAYA MAKMUR
JAKARTA SELATAN",2018,MARIA SARAH DIVA SIMANJUNTAK,"CV Sriagung Jaya Makmur is one of 39 dairy cattles breeding companies in South
Jakarta that still stands to compete with other breeders. CV Sriagung Jaya
Makmur was established since 1974. The purpose of this study is to determine the
price of cow's milk products that can be used by CV Sriagung Jaya Makmur.
Analytical Hierarchy Process (AHP) processing and analytical data processing
methods (AHP) are processed using Expert Choice 11. The strategy of
determining the price of cow’s milk product applied by CV Sriagung Jaya
Makmur is not effective yet. The best alternative strategy for pricing of fresh
cow’s milk product based on calculate the production cost where the company
does not only try to attractive consumers but determine the basic price by all the
cost during the cultivation of dairy cattle.","AHP, cow’s milk, descriptive analysis, price"
"PERBANDINGAN VARIMA DAN GENERALIZED SPACE
TIME ARIMA DALAM MEMODELKAN HARGA CABAI",2018,BRIANDAMAR KENCANA,"Chili is an important commodity for the economy whereas increasing price
of chili contributes to large inflation of foodstuffs that occur in Indonesia. DKI
Jakarta Province is an area that does not produce chili. Meanwhile, the demand of
chile in DKI Jakarta is fulfilled by importing from other provinces mainly from
West Java Province, Central Java, and East Java. This indicates that there is a link
between the location on the price of chili in Java. Price of chili modeling in five
provinces in Java is intended to forecast the price of weekly chili not only related
to the previous time but also related to its surrounding provinces. The VARIMA
model is a dual variable time data forecasting data model. The model depends not
only on the lag of the variable itself but also influenced by other variables. Thus,
GSTARIMA model approach is data model development of time series with
multiple variables that include weighting location into the model. The results show
that the model produced to predict the price of chili using both models are VAR (3)
and GSTAR (3; 1) models. The mean absolute percentage error (MAPE) values
generated on the VAR model (3) is smaller than the GSTAR model (3;1). The
MAPE value generated by the VAR (3) model is 6.84% and R2 is 94.953%"," GSTARIMA, Price of Chili, VARIMA"
"DAMPAK PENURUNAN HARGA DAGING TERHADAP
POLA KONSUMSI BAHAN PANGAN SUMBER PROTEIN
HEWANI DI KOTA TASIKMALAYA",2018,ZAHROTU FITRIANA MAHAWATI,"Protein is one of the essential nutrients to be met, including animal protein
consisting of ruminants, poultry, fish, eggs, and milk. In order to meet the needs,
the government plans a policy of price beef up to Rp 80,000/kg. Descriptive
analysis method, elasticity, and model of Almost Ideal Demand System (AIDS) is
employed to look at the consumption patterns of food sources of animal protein in
Tasikmalaya City using SUSENAS 2016 data. The analysis is done by dividing
the income into three groups, low, middle, and high income to know differences
in consumption patterns in each group. Low income is dominated by eggs,
medium by fish, and high by meat. The expenditure proportion of low and middle
is same as the average of consumption, while the high group is in milk. Adequacy
of protein in low and middle groups has no met the standars, whereas high group
already meets the standards. Elasticity in low and middle groups is in eggs,
whereas high group is in fish. Elasticity of expenditure is more elastic than price
elasticity and cross price elasticity. Simulation of the beef price reduction has the
greatest impact on high income groups.","AIDS, consumption pattern, elasticity, simulation"
"DAMPAK KEBIJAKAN HARGA ECERAN TERTINGGI BERAS
TERHADAP EFISIENSI USAHA PENGGILINGAN PADI
KABUPATEN PURBALINGGA, JAWA TENGAH",2018,RENA PURWANINGTYAS,"The Highest Retail Price (HET) Policy of rice came into effect since September 2017,
which relates to certain price levels. Rice milling is an important part of the rice
supply chain in Indonesia. The existence of rice HET policy makes the managers of
rice millers to be less flexible in the application of prices for the products produced.
The purpose of this study was to see whether the HET rice policy benefits on
improving rice milling in Purbalingga District. This study uses primary data in the
form of cost and acceptance of rice milling. The efficiency analysis is done by cost
and income analysis tool (R/C ratio). The R/C value of the ratio of large-capacity rice
milling before and after HET of rice was 1.12 and 0.97. The R/C ratio of medium-
capacity rice miller before and after HET is 0.97 and 0.58. The R/C value of the ratio
of small and medium-sized rice milling businesses to post-HET is 0.66 and 0.86.
Paired sample t test to see what happens before and after HET rice policy. The results
obtained are no significant difference in rice milling before and after HET rice policy,
with p-value 0.25, 0.41, and 0.49.","rice milling industry, highest retail price of rice, efficiency"
"PENGARUH TRANSPORTASI TERHADAP MUTU DAN
HARGA IKAN DARI PELABUHAN PERIKANAN PANTAI
LEMPASING KE DAERAH KONSUMEN",2018,ANDRI PRASTYO,"Fish is one of perishable food due to its high protein and water content, therefore it
requires to be handled properly to prevent a declining of its quality. Transportation
is an important component that is used to facilitate everyday activities including
catch distribution from the fishing port to the consumer area. This research aims to
describe the transportation and fish handling during transportation by traders to
distribute the catch from Coastal Fishing Port of Lempasing to consumer area, re-
measurement in the consumer area after distributing from Coastal Fishing Port of
Lempasing to consumer area, determine the factors that can affect the quality of
fish during transportation from Coastal Fishing Port of Lempasing to consumer
area, and getting the fish price that are formed in the final consumer and the factors
that influenced it. This research was conducted using case study and the sample was
collected using purposive sampling. The result showed that the type of
transportation used by the distributor to distribute the catches from Coastal Fishing
Port of Lempasing to Metro City is pick-up car (length, 4.195 m; width, 1.655 m;
height, 1.850 m) and has 850 kg transport capacity. The type of container used at
the time of distribution is fiber (length, 80 cm; width, 60 cm; and height, 70 cm).
Based on the organoleptic assessment of gill, eye, and muscle emphasis, there was
a decreasing value of each appearance. Factors which was influenced the fish
quality is how to cool the fish and the container condition. The fish price that formed
in the final consumer is Rp 23 019.84 for Frigate tuna and Rp 17 019.80 for
Goldband goatfish. Factors that influence the price of fish was the cost of raw
materials to buy Frigate tuna and Goldband goatfish, labor costs, and overhead
costs.","transportation condition, quality and the price of fish, Lempasing"
