Judul ,Tahun,Nama Penulis ,Abstrak,Keywords
ANALISIS VOLATILITAS HARGA BAHAN PANGAN UTAMA DI INDONESIA,2017,MUHAMMAD GALIH PANGESTU,"""Indonesian agricultural products have price fluctuation (volatile food).
Volatile food issues, Agreement of Agriculture (AOA) issues, and food security
issues became the basis for analyzing the volatility of main food prices. Variable
of staple food used in this study, such as rice, sugar, and oil use the time series
data. Analysis price volatility focus of three indonesian areas, there are west
(Medan, Palembang, Jakarta, Semarang), central (Denpasar, Samarinda), and east
(Makassar, Jayapura) region. Methods of analysis used in this research is analysis
of the econometric forecasting model Autoregressive Intergrated Moving Average
(ARIMA) and Autoregressive Conditional Heteroscedasticity (ARCH) or
Generelized Autoregressive Conditional Heteroscedasticity (GARCH). ARCH-
GARCH analysis result indicate price of staple food and experience price
volatility. Rice price volatility was highest in Samarinda City, sugar price
volatility was highest in Semarang City, while oil price volatility was highest in
Semarang City.""","ARCH-GARCH, ARIMA , palm oil, rice, sugar, volatility"
"ANALISIS VOLATILITAS HARGA KOMODITAS BAWANG
MERAH DI KABUPATEN NGANJUK
(Studi Kasus: Harga Bawang Merah Pasar Warujayeng)",2017,ZUNA DYAH KUSUMA WARDHANI,"As one of the daily necessities, shallot is a horticultural crop that has
potential in agriculture. High consumption levels make the price of shallot tends to
fluctuate and vulnerable to inflation. As the second largest shallot production center
in Indonesia, researchers chose Nganjuk regency as the object of research. This
study aims to estimate the volatility of the price of shallot in Nganjuk regency with
the price of Shallot Market Warujayeng; And analyzing the factors may affect the
volatility of shallot prices in Warjayeng Market. The data used is secondary data
with time series type from January 2012 to December 2016. Econometrics model
used in this research is ARCH-GARCH model. Based on the analysis, it can be
concluded that the price of shallot commodity has volatility pattern in March and
July every year. The price of shallot in main market and also shallot's price of one
week ago is a variable that affect the volatility of shallot price in Warujayeng
Market. While the independent variables of rainfall, the price of shallot at Berbek
Market, and dummy pest has no significant effect on price volatility","ARCH GARCH, shallot, factors, price fluctuations, volatility rate"
"PERHITUNGAN HARGA POKOK PRODUKSI DAN
HARGA JUAL (STUDI KASUS PD SAKAR WANGI DAN
PD AMELIA JAYA) KABUPATEN BOGOR",2017,ARIS MUNANDAR,"Calculation of the cost of goods manufactured has an important role in
monitoring the realization of the cost of goods manufactured and the determination
of the selling price. This studyis conducted on small and medium enterprises
(SMEs) namely PD Sakar Wangi and PD Amelia Jaya. Determination of the cost
of goods manufactured in small and medium enterprises (SMEs) PD Sakar Wangi
and PD Amelia Jaya, is still simple.The calculation made only takes into account
the direct raw materials, direct labor costs and auxiliary materials. This study aims
to comparing the calculation method of the cost of goods manufactured using full
full costing approach applied by SMEs and determining the selling price of SMEs.
The results show that the calculation of the cost of goods manufactured of
mahogany door based on the calculation of PD Sakar Wangi and PD Amelia Jaya
is smaller than the calculation of the cost of goods manufactured using full costing
approach, the determination of selling price of based on the estimation of PD Sakar
Wangi and PD Amelia Jaya is smaller than the determination of selling price based
cost plus pricing method.","cost of goods manufactured, full costing, mahogany door"
"ANALISIS PERGERAKAN DAN RISIKO HARGA CABAI
DI PASAR INDUK KRAMAT JATI",2017,NOVA ISMAIL,"Chilies is one of horticulture commodities which is important for economy
of Indonesian society. Because, agribusiness of chilies involves many parties in its
system such as farmer, trader, and consumer. At trader level, especially at Kramat
Jati central market, chilies are the most heavily traded commodity in term of daily
commodity supply sent to central market. As for, chilies daily prices condition are
fluctuate. The fluctuations of chilies prices cause price risk for this commodity.
Price risk causes costs for trader. This study aims to analyze price movements and
chili price risk on trader level at Kramat Jati central market. The data used is daily
price period January 2013 to December 2015. This study used descriptive analysis,
coefficient variance and variance with ARCH-GARCH model. The factors
affecting the chili price in current period are the chili supply in current period and
chili price in previous period. While, the risk of chili price in current period is
affected by the volatility of chili price one day before and the variance of chili
price one day and two days before.","ARCH-GARCH model, chili, product price risk"
"ANALISIS HARGA CABAI MERAH BESAR DI PASAR
ECERAN JAKARTA DENGAN MENGGUNAKAN
ANALISIS GEROMBOL DERET WAKTU",2017,REGHINA ARDALOVA,"Red chili trading system in DKI Jakarta is determined by wholesalers and
retailers. Wholesalers at Pasar Induk Kramat Jati plays a role to distribute red chili
to all retailers in 43 local markets. Although all the supply of red chili comes from
Pasar Induk Kramat Jati, but the price of red chili in the local market tends to vary.
A considerable price difference in some local markets is the basic idea of this
research. This study aims to analyze the price of red chili by cluster all retail market
using clustering timeseries hierarchical method with ward linkage and CID as a
distance. The clustering result generated four group of retail market. Each grup
showed that there was a difference in price fluctuation, but in general each group
showed a similar pattern of price movements. The marketing mechanism between
each group and Pasar Induk Kramat Jati were not well integrated but did not indicate
market segmentation. However, prices in the retail market remain influenced by
prices at the Pasar Induk Kramat Jati, as can be seen from the t test significant result.
Meanwhile, based on correlation analysis, there was no correlation between the
distance of retail market to Pasar Induk Kramat Jati with the average weekly price
in each market, while population density in every sub-district showed reverse
relationship with correlation coefficient of -0.376.","CID, market integration, red chili prices, timeseries clustering"
"PENGEMBANGAN MODUL PELAPORAN HARGA KOMODITAS
PERTANIAN PADA APLIKASI PORTAL HARGA UNTUK
PETANI MENGGUNAKAN REST API",2017,SHELLAFURI BIRU MARDIKA,"Agricultural commodities price may fluctuate every day, one of the causes is the
middleman. The presence of middlemen may cause harm to the farmers, this is due to the
price gaming by middlemen. This research is the development of agricultural commodity
price reporting module for farmers side using the representational state transfer (REST)
Application Programming Interface (API) with the MySQL database. The method used in
this research is extreme programming. Data is processed on REST API using Node.js and
the results of the data is saved in the form of JSON. This study aims to facilitate the farmers
to present their harvest result and their aspirations to the government. In addition, the system
also allows farmers to see aspirations, prices of agricultural commodities, and results of
harves,t and support aspirations. The testing result using black box method showed that the
main function of Portal Harga application worked correctly according to the application
requirements.","agricultural commodities, fluctuation, price, REST API"
"SISTEM PENETAPAN HARGA JAGUNG DAN KEDELAI DI
PASAR TRADISIONAL JAKARTA TIMUR
(PERIODE 2011-2015)",2017,FUZAWATY ZIHAN KUSUMAH,"The maize production in 2015 just realize 24.84 ton million and can not
meet the national demand about 1.6 kilogram/capita/year. In another hand, the
soybean production, which realize 963.18 ton thousand, also can not meet the
national demand about 2.2 ton million. It cause a price fluctuation in maize and
soybean commodities. This study aims to analyze the pricing of maize and
soybean at the consumer level by using VECM and analyze market behavior of
East Jakarta in pricing at the consumer level by using game theory. The results
show that the maize price are positively influenced by the producer price, the
wholesale price, and the gasoline price while negatively influenced by the supply.
The soybean price is negatively influenced by the producer price and positively
influenced by the wholesale price. Sudden changes in supply cause a price
fluctuation on consumer. This probability occurs as the impact of dominant
strategy in pricing through market pricing strategy by commodity retailers.","game theory, maize, soybean, VECM"
"ANALISIS VOLATILITAS HARGA BAHAN PANGAN
UTAMA DI INDONESIA",2017,MUHAMMAD GALIH PANGESTU,"Indonesian agricultural products have price fluctuation (volatile food).
Volatile food issues, Agreement of Agriculture (AOA) issues, and food security
issues became the basis for analyzing the volatility of main food prices. Variable
of staple food used in this study, such as rice, sugar, and oil use the time series
data. Analysis price volatility focus of three indonesian areas, there are west
(Medan, Palembang, Jakarta, Semarang), central (Denpasar, Samarinda), and east
(Makassar, Jayapura) region. Methods of analysis used in this research is analysis
of the econometric forecasting model Autoregressive Intergrated Moving Average
(ARIMA) and Autoregressive Conditional Heteroscedasticity (ARCH) or
Generelized Autoregressive Conditional Heteroscedasticity (GARCH). ARCH-
GARCH analysis result indicate price of staple food and experience price
volatility. Rice price volatility was highest in Samarinda City, sugar price
volatility was highest in Semarang City, while oil price volatility was highest in
Semarang City."," ARCH-GARCH, ARIMA , palm oil, rice, sugar, volatility"
"PERILAKU PELANGGAN DAN INSENTIF HARGA
DAGING AYAM DALAM PENGENDALIAN PENYAKIT
UNGGAS",2017,DITA MELIANA,"The consumption level of Indonesian society towards chicken meat tends to
increase in 2011 and 2015 were accompanied by price fluctuations. This study
aims to: (1) to analyze the characteristics and behavior of consumers of chicken
meat. (2) analyze the consumer's willingness to pay and incentives chicken meat
prices when scarcity and health guaranteed. (3) to analyze the factors that
influence consumer willingness to pay for chicken meat. The analysis used in this
research is descriptive analysis, approach Contingent Valuation Method (CVM):
TIOLI and Bidding Games, and multiple linear regression analysis. The results
showed the characteristics and behavior consuming dominated by housewives
who buy chicken in the traditional market. The price consumers are willing to pay
Rp38 165 per kg when scarcity and Rp38 205 per kg for chicken meat is
guaranteed healthy. Incentives earned Rp16 per kg so inadequate to incentive
businesses chicken meat supply chain. Factors affecting consumers' willingness to
pay of chicken meat that is the level of education, occupation, income level,
family size, and the amount of consumption of chicken meat.","chicken meat price, customer behavior, TIOLI and Bidding Games."
"SISTEM PENETAPAN HARGA KOMODITAS BAWANG
MERAH DAN CABAI MERAH DI JAKARTA TIMUR
(PERIODE 2011 – 2016)",2017,NAAFI FATIMAH HARWANTI,"Shallot and red chili have become strategic issues that contribute to the
policy of national economy. The problem of both commodities is caused by
seasonal harvesting constraints that affect domestic stock supply and geographical
factors that hinder the distribution process. The purpose of this study is to analyze
the factors and strategy of retailers that could affect the pricing system of shallot
and red chili commodities in East Jakarta. A monthly time series data from 2011
to 2016 is used for this research. Furthermore, it also uses VECM method,
descriptive analysis, and game theory analysis. The result of this study showed
that the most influencing factors of shallot and red chili commodities pricing at
the consumer level is the price of the producer and wholesaler. Maximum profit is
earned when retailers apply collusion as a dominant strategy.","shallot, red chili, game theory, VECM"
