Judul ,Tahun,Nama Penulis ,Abstrak,Keywords
"ANALISA PENGARUH HARGA, BRAND IMAGE DAN
DIFERENSIASI PRODUK TERHADAP KEPUTUSAN
PEMBELIAN OLEH-OLEH PEMPEK PAK RADEN
(Studi kasus pada wisatawan domestik di Kota Palembang)",2015,DESTA ALDINU PRATIWI,"Aim of the research is to analyze the effect of price, brand image and product differentiation on purchase decision of Pempek Pak Raden. The data and information were collected from 100 respondents by using an accidental sampling. They were analyzed using a multiple linear regression, the result was Y = -1,271 + 0,604 X1 + 0,203 X2 + 0,301X3. The research analysis revealed that price, brand image and product differentiation had a positive and significant effect on customer purchase decision.","Brand image, price, product differentiation and purchase decision."
"FLUKTUASI HARGA KOMODITAS PANGAN DAN
DAMPAKNYA TERHADAP INFLASI DI PROVINSI BANTEN ",2015,ASTARI FEBRIANI SETIAWAN,"Banten Province has a fluctuative inflation.The highest inflation is contributed by food category, especially food commodity. Therefore, the price of food commodity become an important issue in the province of Banten. This research analyze the prices of food commoditiy, such as rice, corn, curly red chili, onion, beef, chicken meat and layer egg. The data that used in this research are the monthly time series data from January 2011 to December 2014. The purpose of this research were: 1) To describe the food commodity price developments in Banten; 2) To analyze fluctuations of food commodity prices and their impact on inflation in Banten; 3) To analyze the inflation linkages between regions around Banten Province. This research using descriptive analysis, VAR models (Vector Autoregression) or VECM (Vector Error Correction Model, and Granger causality. The results of a descriptive analysis shows during 2011-2014, the developments of commodity prices such as rice, corn, curly red chili, onion, beef, chicken meat and layer eggs generally showed an upward trend. VAR analysis results showed that in the short term only curly red chili which have a significant impact on inflation in Banten Province. On the long-term there are six commodities that impact significantly on inflation in Banten province, those are beef, corn, rice, chicken meat, layer egg and red chili curly. The results of Granger causality test show that there is only one way relation that is Banten inflation affecting Lampung inflation. ","fluctuation, food prices, inflation, VAR, VECM, Granger causality"
"FAKTOR-FAKTOR YANG MEMENGARUHI RISIKO
PRODUKSI DAN RISIKO HARGA AYAM RAS
PEDAGING DI KECAMATAN PAMIJAHAN,
KABUPATEN BOGOR",2015,DONI SETIADI,"
Over the last three years from 2011 to 2013, broiler production in Pamijahan District is fluctuated which indicates a production risk. Broiler selling price also fluctuated during 2014 which indicates the risk of broiler selling prices faced by the core company. This study aim to analyze the influence of production factors on the broiler production risk that is faced by farmers in the Pamijahan district and the level of price risks faced by the core company. This research used Just and Pope model to analyze the factors which affect the risk of production. Price risk is measured by calculating the variance, standard deviation, and variation coefficient. Based on calculations, DOC, the feed, drugs, heaters, and labor are production factors that cause a risk, while the vitamins, vaccines, and chaff are production factors which can reduce the risk of production. Judging from the variation coefficient, sales in the third quarter , from July to September 2014 , has a price risk that is higher than the fourth quarter.","broiler, Just and Pope, price risk, production risk"
"ANALISIS PERAMALAN DAN FAKTOR-FAKTOR YANG
MEMENGARUHI HARGA BAWANG MERAH DI
INDONESIA",2015,DEBBIE MEGASARI,"Onion is one of horticultural commodity from food crops subsector which is important for Indonesian. That commodity is often used in household consumption as a seasoning, complementary food ingredients, and a cure for some diseases. Nowadays, demand for onion increase with the increases of population and the developing of food industry. However, onion price was often fluctuating. This study aim to (1) analyze the developing of onion prices in Indonesia and trends in the future; (2) analyze the factors that affect onion price in Indonesia. This study uses data of onion price in Indonesia from June 2009 - May 2014, total of onion supply in Indonesia, total of onion consumption in Indonesia, and international onion price in 1993-2013. ARIMA model is used to predict onion price in the future and multiple linear regression model with estimation method of Ordinary Least Square (OLS) is used to estimate factors that affect the price of onion. The results of this study showed a trend of rising prices with fluctuating pattern in June 2009 – Mei 2014 and in June 2014 - May 2015 predicted that price will fluctuate and tend to increase. The factors that affect onion real price in Indonesia are delta of onion supply in Indonesia, lag of onion consumption in Indonesia, delta of international onion real price and lag of onion real price in Indonesia. ","ARIMA, forecasting, OLS, onion, price "
"ANALISIS DAMPAK FLUKTUASI MINYAK MENTAH
DUNIA TERHADAP HARGA KARET ALAM DOMESTIK",2015,NURUL RAHMADHANI LUBIS,"Natural rubber is one of the leading comodity estate crop subsector in Indonesia. However, over the past few years the domestic natural rubber prices tended to fluctuate. One of the external factors that affects the price of domestic natural rubber is the price of world crude oil. The purposes of this study are to analyze the impact world crude oil prices fluctuation and other factors that effect the domestic natural rubber prices and to analyze determinant factors influencing domestic natural rubber prices. This research was analyzed with VECM using time series data from March 2008 to December 2013. The result of VECM estimation indicates that world crude oil price affects the domestic natural rubber prices in the long term. The other variables that also affect the domestic price of natural rubber in the long term are the domestic natural rubber production and inflation. The production of natural rubber gives the biggest impact in domestic natural rubber prices. Meanwhile, the world crude oil has a small effect to domestic natural rubber price.
"," crude oil, natural rubber, time series, VECM"
"PENERAPAN MODEL GENERALIZED SPACE TIME PADA DATA
HARGA GULA PASIR DI PULAU JAWA",2015,SUCI DARAPUTRI,"Generalized space time autoregressive (GSTAR) model is a model that function of location and time (space time). GSTAR is the development model of space time autoregressive (STAR) assuming different model parameters for each location so GSTAR tend to be more flexible than the STAR model. This research aim is determining suitable space time model of sugar price data in Java Island. The data used is the weekly price of sugar in Jakarta, West Java, Central Java, DI Yogyakarta, East Java and Banten in July 2008 until December 2014. The suitable space time model for sugar rates data in Java is GSTARI (1.1). The weight used in this research is inversed distance and contiguity. Modeling results show that the best model is weighted contiguity which has the smallest value of mean absolute percentage error (MAPE) about 3.66 % .","contiguity, GSTAR, inversed distance, space time"
"ANALISIS SIKAP KONSUMEN DAN SENSITIVITAS HARGA
TERHADAP JERUK MEDAN DAN JERUK MANDARIN
DI YOGYA BOGOR JUNCTION ",2015,REGINA ELSA MONICA,"Orange is one of fruits that have a lot of varieties in Indonesia. Free trade system make the Government cannot do much to tackle increase import oranges. The inclusion of orange mandarin to Indonesia made the consumers have a choice between consuming medan orange or mandarin orange. The methods used in this research is a descriptive analysis, multiatribut fishbein, and price sensitivity. The majority consumers of orange are woman, married, bachelor, age ≥ 36 years, worked as housewife and have income Rp 2 600 000 – Rp 5 000 000. Based on fishbein analysis, respondent prefer attribute on an mandarin orange. Range price of medan oranges is Rp 36 000 – Rp 45 000. Range price of mandarin orange is Rp 33 000 – Rp 47 500 ."," Consumer Attitudes, Multiatribute Fishbein, Price sensitivity"
"ANALISIS HARGA POKOK PRODUKSI DOMBA AKIKAH DI
JASA LAYANAN AKIKAH WILAYAH BOGOR BARAT",2015,RIADI FESA MUTTAQIN ,"Aqiqah is slaughtering small ruminant, like goat and sheep, as expression of gratitude of parents on the birth of their child. Price or service fee of aqiqah is different at every business unit, so the research done by considering the cost of production. The study conducted at three sites sheep aqiqah services in West Bogor for three months. Data analysis using descriptive data by calculating the cost of production, income, and revenue cost ratio (RC-1 ratio). Production cost of ram weight 13 kg to 25 kg range from Rp 1 336 619 to Rp 2 180 942, while ewes in weight 13 kg to 19 kg range from Rp 946 619 to Rp 1 250 369. The differences in production cost is influenced by the cost of sheep and operational. Aqiqah service provider will receive a profit between Rp 102 131 to Rp 449 058 for every package. Aqiqah sheep RC-1 ratio has been more than 1 and the selling price has covered the production cost so that the business unit is beneficial and viable.","aqiqah, base production cost, sheep"
PENGARUH VARIABEL MAKROEKONOMI TERHADAP HARGA SAHAM PERUSAHAAN SUBSEKTOR PERKEBUNAN,2015,"poisson regression analysis, characteristics of smoker,
consumption of clove cigarette","The stock price of plantation subsector seems attractive because of its positive prospect while the rupiah exchange rate becomes low against US Dollar. The purposes of this study are (1) to analyze the impact of macroeconomic variables to the stock price, (2) to analyze one of macroeconomic variables which has the most significant impact to the stock price, (3) to analyze the future stock price and some macroeconomic variables movements during the period of January-March 2015 at Plantation Subsector Company which listed on Kompas100 Index (period February 2014-January 2015). The statistical methods used for data processing and analyzing are Multiple Linear Regression Analysis and Trend Analysis. The result of the study are: (1) the exchange rate and SBI rate have positive impact to the stock price, while inflation has negative impact to the stock price; (2) as a macroeconomic variable, exchange rate has the most significance impact to the stock price; (3) stock price, SBI rate, inflation, and US Dollar to rupiah rate are predicted will be increasing continuously during the period of January-March 2015.","exchange rate, inflation, plantation subsector, SBI rate, stock price"
PERHITUNGAN HARGA POKOK PRODUKSI PADA UKM KUE RISKY,2015,DARA KARTIKA AGRARISTANTI,"Small and Medium Enterprises (SMEs) Risky Bakery is one of the companies which in practice does not include overhead costs in the calculation of the cost of production. As a result, the incompatibility effect on the actual income received. This study focuses only on the calculation of the cost of production of three products, namely lapis surabaya, rolls, and lapis legit. Research objectives: (1) to identify the costs incurred, (2) analyzing the cost of goods manufactured by the method of SMEs, and (3) to analyze the implementation of the calculation of the cost of production by the method of variable costing and full costing on SMEs Risky Bakery. This research uses variable costing and full costing method with company’s financial data from October 2014 to February 2015. The results showed that the cost of production per unit of lapis surabaya, rolls, and lapis legit based on the calculation of the two methods produce different amounts, but produce the same profit.","Cost of Production, Full Costing, SMEs, Variable Costing"
