Judul ,Tahun,Nama Penulis ,Abstrak,Keywords
"PENENTUAN HARGA OPSI EXCHANGE DENGAN
MENGGUNAKAN MODEL BLACK-SCHOLES",2021,ISNA NUR FAJRIAH,"Exchange option is an option to exchange one asset for another at maturity.
This option is simultaneously a call option on one asset and a put option on the
other asset. One of the methods that can be used to determine the option price is the
Black-Scholes model. This paper discusses derivation and illustration of the Black-
Scholes model to determine the price of an exchange option. Furthermore, the
illustration of the Black-Scholes model also discusses factors affecting the price of
exchange option, such as the current price of the first stock, the current price of the
second stock, the time to maturity, the volatility of the stock price, and the
correlation between the first stock price and the second stock price. Based on the
illustration, it can be concluded that the current price of the second stock, the time
to maturity, and the volatility of stock price are directly proportional to the price of
the exchange option, while the current price of the first stock and the correlation
between the first stock price and the second stock price are inversely proportional
to the price of the exchange option.","Black-Scholes model, exchange option, option price."
"ANALISIS VOLATILITAS HARGA BERAS DAN FAKTOR
YANG MEMENGARUHI PERUBAHAN HARGA BERAS DI
INDONESIA PERIODE 2014-2020",2021,SOPI YATUN HASANAH,"Indonesia is one of the countries that is the third largest producer and
consumer of rice in the world. This is in line with Indonesian people who mostly
make rice as the main food ingredient. Rice is a food commodity that tends to be
volatile. This study aims to analyze the volatility of rice prices in Indonesia for the
2014-2020 period and analyze the factors that influence changes in rice prices in
Indonesia for the 2014-2020 period. The method used in this study is the ARCH-
GARCH model to determine the volatility of rice price and the VECM method to
determine the factors that influence changes in Indonesia rice prices. The results
show that Indonesia’s rice commodity is still volatile during the 2014-2020 period.
The factors that significantly influence changes in the price of indonesian rice in the short term are the variables of the Indonesian rice price itself
and inflation. Meanwhile, in the long term, variables that significantly affect
changes in Indonesian rice prices are inflation, interest rates, world rice prices and
exchange rates. The results of the IRF show that the shock of the factor variables
to changes in Indonesian rice prices varies between periods. FEVD results for the
next five years period all variables have a percentage contribution in influencing
changes in Indonesian rice prices.","ARCH-GARCH, Indonesian Rice Prices, VECM, Volatility"
"PENGARUH VARIABEL MAKROEKONOMI DAN PANDEMI
COVID-19 TERHADAP HARGA SAHAM PERUSAHAAN
AGRIBISNIS DI INDONESIA",2021,ELISA YEMIMA SIANTURI,"This study aims to determine the effect of macroeconomic factors and the
COVID-19 pandemic on share prices of agribusiness companies in Indonesia, both
upstream and downstream. Five macroeconomic variables (inflation, exchange rate,
BI interest rate, world oil price, and palm oil price) were used as independent
variables, the COVID-19 pandemic as a dummy variable and the share price of
agribusiness companies as the dependent variable. The data used are secondary data
from 2015 to 2020 and analyzed by ECM (Error Correction Model). The results
shows that in the short term, only world oil prices and palm oil prices affect the
stock price performance of upstream group companies, while in the downstream
group, all variables including the COVID-19 pandemic doesn’t affect the
company's stock price performance. In the long term, all variables including the
COVID-19 pandemic affects the performance of the share price of companies in
the upstream group, while for the downstream group, only inflation, exchange rates,
world oil prices, crude oil prices, and the COVID-19 pandemic affects the
performance of company share prices.","agribusiness, stock prices, macroeconomic variables, COVID-19,
ECM."
"DAMPAK EL NINO DAN LA NINA TERHADAP HARGA
KUBIS DI INDONESIA",2021,RIZQI FITRIANA,"Climate change is a popular issue discussed in the world and has an impact
on the environment and the economy of a region. One form of climate change that
is happening in Indonesia is El Nino Southern Oscillation (ENSO) consisting of El
Nino, Normal, and La Nina phases. ENSO results in rainfall fluctuations, thus
affecting the agricultural sector, especially the vegetable horticulture sub-sector.
This study examines the impact of El Nino and La Nina on cabbage prices using
the static panel analysis method. The data used in the form of 15 provinces
affected by the span of 2010 to 2018. The phenomenon of El Nino and La Nina is
shown through rainfall indicators. The results obtained in the study are La Nina
has a significant effect in increasing the price of cabbage, followed by other
factors including the price of substitution (mustard green prices), productivity, and
gross regional domestic product per capita","cabbage prices, El Nino, La Nina, static panels"
"PENENTUAN HARGA OPSI EROPA MENGGUNAKAN
METODE MONTE CARLO DAN
METODE BEDA HINGGA",2021,ALOYSIUS MAVERICK SARIUN,"European option prices are generally calculated using the Black-Scholes
model. This model can be used when the assumptions are fulfilled. In fact, options
trading does not fulfill several assumptions so the Black-Scholes model cannot
provide an analytical solution for option prices. This is the reason for the need of
numerical methods to calculate European option prices. This study uses numerical
methods such as the Monte Carlo method which calculates option prices by
simulating stock prices and the finite difference method which performs
discretization on partial differential equations. This paper examines the
convergence for each method. Next, we examine the effect of several parameters
on the option price using the finite difference method. The expiration time of the
option and the option price has a different relationship for certain conditions and
the volatility of the stock price is directly proportional to the option price.","European option, finite difference method, Monte Carlo method, option"
"ANALISIS VOLATILITAS DAN FAKTOR-FAKTOR YANG
MEMENGARUHI PERUBAHAN HARGA JAGUNG
INDONESIA",2021,YOZI YUSANDRA,"Food is the main source of community needs. One of the food commodities
that play an important role in realizing self-sufficiency and national food security
is corn. The main problem with corn is the price volatility that has occurred over
the last few years. The volatility that occurs causes the price of corn to
experience uncertainty which can affect the demand and supply of corn in
Indonesia. Therefore, it is necessary to know the main problems causing the
volatility of corn prices that continue to occur in order to achieve self-sufficiency
and food security. The analysis period in this study is from January 2013 to
December 2020. The analytical method used in this study is the ARCH-GARCH
model to see the level of fluctuations in corn prices. Furthermore, the VECM
method is used to determine the factors that influence changes in Indonesian
corn prices. The results of the analysis show that Indonesia's corn commodity isstill volatile during the period research. This indicates that price stability has not
yet been achieved. Furthermore, using the VECM method shows that the world
corn price factor in the short term has a significant effect on changes in
Indonesian corn prices. Meanwhile, in the long term, factors that have a
significant effect on changes in Indonesian corn prices are world corn prices,
exchange rates, and inflation. The impact of factor variable shocks on changes in
Indonesian corn prices varies between periods and begins to stabilize after the
21st month. The variance contribution of each factor has a percentage that is
able to influence changes in Indonesian corn prices in the long term, so that the
volatility of Indonesian corn prices is influenced by the variables that have been
studied.","ARCH-GARCH, Indonesian Corn Prices, VECM, Volatility."
"PERAMALAN DAN VOLATILITAS
HARGA DAGING AYAM RAS DI JAWA BARAT",2021,MILENIA IHSANTI SUWARNA,"West Java is a province with the highest number of broiler meat population and
production in Indonesia. It makes West Java be the center of broiler meat
production. The price of broiler meat fluctuates all the time. This condition
troubling producers and consumers who want a price stability. Therefore, it is
necessary to formulate a forecast model and volatility level of broiler meat price in
West Java so producers and consumers can plan production and consumption of
broiler meat and the government can use the information as a policy-making tool.
The data used in the form of weekly price data and analyzed using EViews 9. The
best model to forecast broiler meat price in West Java is SARIMA(1,1,1)(0,1,1)26.
The price of broiler meat has uptrend and seasonal pattern. The best model to
estimate the level of price volatility is ARCH(1) with a coefficient value is
0,828514. The coefficient value that close to one indicates the existence of volatility
is strong and the broiler meat price is very responsive to market dynamics. There
are several things that can be done to minimize price fluctuations, such as improving
and adding infrastructures, improving information and distribution systems reviewing corn and the number of brooders import policies, and providing cold
storage.","arch garch, forecasting, price, sarima, volatility"
"PENGARUH KUOTA EKSPOR TERHADAP HARGA KARET
ALAM DOMESTIK INDONESIA",2021,ALFI NURDINA,"The Agreed Export Tonnage Scheme is a policy to limit natural rubber export
quotas by 3 countries, namely Indonesia, Malaysia and Thailand. This policy aims
to increase the price of natural rubber in the world. The policy also affects the
monthly natural rubber prices at the farmers. Therefore, this study aims to analyze
the effect of export Quotas policy on Indonesia's domestic natural rubber prices.
The study uses monthly times series data from January 2013 to December 2019.
The method used is the Error Correction Model to determine the variables that have
a significant effect on the price of Indonesian natural rubber. The variable total
exports of 3 countries with lag -3 has a negative and significant effect both in the
long and short term on the domestic natural rubber price. Meanwhile, Dummy's
export policy has no effect on domestic natural rubber prices. So can be concluded
that the policies has effect of domestik natural rubber price but that policy needs to
be improved. These improvements include supervision, continuous policy design
and additional collaboration with other natural rubber producers.","ECM, natural rubber, domestik price, AETS"
"ANALISIS VOLATILITAS HARGA CABAI BESAR DAN
CABAI RAWIT DI INDONESIA",2021,,"The chili commodity in Indonesian market is known in various types,
including large chilies consisting of red chilies and curly chilies and cayenne pepper
consisting of green cayenne pepper and red cayenne pepper. The demand for large
chilies and cayenne pepper is inelastic, so the price tends to be volatile. The volatile
price pattern causes the chili commodity to be included in the volatile food category.
This study is to determine the differences in both the price patterns of large chili
and cayenne pepper and the volatility of the two chili prices. The method that used
are ARIMA and ARCH-GARCH models. The results showed that the volatility that
occurred in these two commodities tended to be low and the price of cayenne pepper
had higher volatility with an ARCH coefficient of 0.833003 compared to the price
of large chili which had an ARCH coefficient of 0.479061. The prices of large
chilies and cayenne pepper are highly volatile on the November to February. The
high volatility was caused by extreme weather so that chili production decreased
while demand increased.","ARCH-GARCH, ARIMA, cayenne pepper, large chili, volatility"
"PENGARUH DEBT TO EQUITY RATIO DAN
PRICE TO BOOK VALUE TERHADAP HARGA SAHAM",2021,FELICIA SUGIARTO,"The effect of a company’s financial statements on its stock prices is not
always the same, so it becomes a problem for investors to find out which stocks are
worth buying. This study aims to determine and explain the effect of Debt to Equity
Ratio (DER) and Price to Book Value (PBV) either simultaneously or partially on
stock prices. The data used are stock prices of six cement companies that have been
listed as issuers on the Indonesia Stock Exchange (IDX) for the period 2016 to 2018
and issue financial reports regularly every year. There are two independent
variables used in this study, namely Debt to Equity Ratio and Price to Book Value,
while the dependent variable used in this study is stock price. This research uses
multiple linear regression analysis model. The results showed that the Debt to
Equity Ratio and Price to Book Value variables had a significant negative effect
on stock prices. It means if DER and PBV are higher, then the stock price will be
lower.","debt to equity ratio, stock price, price to book value"
